"assessid","stockid","mgmt","assessor","years","year","method","method1","method2","country","region","area","areaid","stocklong","class","order","family","genus","species","species_orig","comm_name","msy_true","b0_true","msy_true_units","b0_true_units","tl_nyrs","tl_avg","tl_units","tc_nyrs","tc_avg","tc_units","catch_type","catch_nyrs","catch_avg","catch_units","r_nyrs","r_avg","r_units","ssb_nyrs","ssb_avg","ssb_units","tb_nyrs","tb_avg","tb_units","tn_nyrs","tn_avg","tn_units","sp_model"
"DFO-PAC-PCOD5AB-1945-2014-OSGOOD","PCOD5AB","DFO","DFO-PAC","1945-2014",2014,"Biomass dynamics model","Delay difference","Delay difference model","Canada","Canada West Coast","Queen Charlotte Sound","Canada-DFO-5AB","Pacific cod Queen Charlotte Sound","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus","Pacific cod",763.3,NA,"MT",NA,0,NA,NA,68,823.470588235294,"MT","tc",68,823.470588235294,"MT",56,1128642.85714286,"E00",0,NA,NA,59,4312.23728813559,"MT",0,NA,NA,"yes"
"AFSC-PCODBSAI-1964-2013-CHING","PCODBSAI","NMFS","AFSC","1964-2013",2013,"Unknown","unknown","Unknown","USA","US Alaska","Bering Sea and Aleutian Islands","USA-NMFS-BSAI","Pacific cod Bering Sea and Aleutian Islands","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus","Pacific cod",NA,NA,NA,NA,0,NA,NA,49,133781.632653061,"MT","tc",49,133781.632653061,"MT",35,592000000,"E00",37,389972.972972973,"MT",31,771290.322580645,"MT",0,NA,NA,"yes"
"AFSC-PCODGA-1977-2014-HIVELY","PCODGA","NMFS","AFSC","1977-2014",2014,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Pacific cod Gulf of Alaska","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus","Pacific cod",NA,NA,NA,NA,0,NA,NA,34,54535.2941176471,"MT","tc",34,54535.2941176471,"MT",35,239171428.571429,"E00",38,160065.789473684,"MT",0,NA,NA,0,NA,NA,NA
"DFO-PAC-PCODHS-1944-2014-OSGOOD","PCODHS","DFO","DFO-PAC","1944-2014",2014,"Biomass dynamics model","Delay difference","Delay difference model","Canada","Canada West Coast","Hecate Strait","Canada-DFO-HS","Pacific cod Hecate Strait","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus","Pacific cod",3313.1,NA,"MT",NA,0,NA,NA,69,2498.68115942029,"MT","tc",69,2498.68115942029,"MT",57,3715192.98245614,"E00",0,NA,NA,59,17417.2881355932,"MT",0,NA,NA,"yes"
"DFO-PAC-PCODWCVANI-1956-2002-COLLIE","PCODWCVANI","DFO","DFO-PAC","1956-2002",2002,"Biomass dynamics model","Delay difference","Delay difference model","Canada","Canada West Coast","West Coast of Vancouver Island","Canada-DFO-WCVANI","Pacific cod West Coast of Vancouver Island","Actinopterygii","Gadiformes","Gadidae","Gadus","Gadus macrocephalus","Gadus macrocephalus","Pacific cod",NA,NA,NA,NA,46,1623.32608695652,"MT",0,NA,NA,"tl",46,1623.32608695652,"MT",47,2926978.72340426,"E00",0,NA,NA,47,9434.46808510638,"MT",47,5365191.4893617,"E00","yes"
"AFSC-PERCHEBSAI-1960-2011-STACHURA","PERCHEBSAI","NMFS","AFSC","1960-2011",2011,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","USA","US Alaska","Eastern Bering Sea and Aleutian Islands","USA-NMFS-EBSAI","Pacific Ocean perch Eastern Bering Sea and Aleutian Islands","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Sebastes alutus","Pacific ocean perch",NA,NA,NA,NA,0,NA,NA,33,10193.9696969697,"MT","tc",33,10193.9696969697,"MT",31,94803225.8064516,"E00",35,126614.285714286,"MT",35,418085.714285714,"MT",0,NA,NA,"yes"
"DFO-PERCHQCI-1939-2013-WATSON","PERCHQCI","DFO","DFO","1939-2013",2013,"Statistical catch at age model","SCA","Statistical catch-at-age model","Canada","Canada West Coast","Queen Charlotte Islands","Canada-DFO-QCI","Pacific Ocean perch Queen Charlotte Islands","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Sebastes alutus","Pacific ocean perch",1488,31242,"MT","MT",0,NA,NA,73,1156.06580830137,"MT","tc",73,1156.06580830137,"MT",73,4847397.26027397,"E00",74,20790.4054054054,"MT",74,35112.1621621622,"MT",0,NA,NA,"yes"
"DFO-PERCHWCVANI-1939-2013-WATSON","PERCHWCVANI","DFO","DFO","1939-2013",2013,NA,"unknown",NA,"Canada","Canada West Coast","West Coast of Vancouver Island","Canada-DFO-WCVANI","Pacific Ocean perch West Coast of Vancouver Island","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Sebastes alutus","Pacific ocean perch",1048,21442,"MT","MT",0,NA,NA,73,1005.52260273973,"MT","tc",73,1005.52260273973,"MT",73,3564383.56164384,"E00",74,11757.1621621622,"MT",74,22018.9189189189,"MT",0,NA,NA,"yes"
"WDFW-PGEODWA-1980-2010-HIVELY","PGEODWA","WASTATE","WDFW","1980-2010",2010,"Unknown","unknown","Unknown","USA","US West Coast","Washington","USA-WASTATE-WA","Pacific Geoduck Washington","Bivalvia","Myoida","Hiatellidae","Panopea","Panopea generosa","Panopea generosa","Pacific Geoduck",NA,NA,NA,NA,0,NA,NA,31,1737.12903225806,"MT","tc",31,1737.12903225806,"MT",0,NA,NA,0,NA,NA,31,75441.935483871,"MT",0,NA,NA,"yes"
"PFMC-PHAKEPCOAST-1966-2016-WATSON","PHAKEPCOAST","NMFS","PFMC","1966-2016",2016,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US West Coast","Pacific Coast","USA-NMFS-PCOAST","Pacific hake Pacific Coast","Actinopterygii","Gadiformes","Merlucciidae","Merluccius","Merluccius productus","Merluccius productus","Pacific hake",406000,2397000,"MT","MT",0,NA,NA,50,224438,"MT","tc",50,224438,"MT",51,2897549019.60784,"E00",51,1409549.01960784,"MT",0,NA,NA,0,NA,NA,NA
"IPHC-PHALNPAC-1888-2014-HIVELY","PHALNPAC","IPHC","IPHC","1888-2014",2014,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","multinational","US Alaska","North Pacific","multinational-IPHC-NPAC","Pacific halibut North Pacific","Actinopterygii","Pleuronectiformes","Pleuronectidae","Hippoglossus","Hippoglossus stenolepis","Hippoglossus stenolepis","Pacific halibut",NA,NA,NA,NA,0,NA,NA,127,21304.6377952756,"MT","tc",127,21304.6377952756,"MT",0,NA,NA,19,161347.368421053,"MT",19,191526.315789474,"MT",0,NA,NA,NA
"STECF-PICAMEDGSA25-2005-2010-OSIO","PICAMEDGSA25","GFCM","STECF","2005-2010",2010,"VPA","XSA","Extended Survivor Analysis","multinational","Mediterranean-Black Sea","Cyprus Island","multinational-GFCM-GSA25","Picarel Cyprus Island","Actinopterygii","Perciformes","Sparidae","Spicara","Spicara smaris","Spicara smaris","Picarel",NA,NA,NA,NA,0,NA,NA,0,NA,NA,"none",0,NA,NA,0,NA,NA,1,1350,"MT",0,NA,NA,0,NA,NA,NA
"FAJ-PILCHPJPN-1976-2009-ONO","PILCHPJPN","FAFRFJ","FAJ","1976-2009",2009,"VPA","VPA","Virtual Population Analysis","Japan","Russia Japan","Pacific Coast of Japan","Japan-FAFRFJ-PJPN","South american pilchard Pacific Coast of Japan","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Sardinops melanostictus","Japanese pilchard",NA,NA,NA,NA,0,NA,NA,34,1105835.29411765,"MT","tc",34,1105835.29411765,"MT",34,63343794117.6471,"E00",34,3492588.23529412,"MT",34,6141147.05882353,"MT",0,NA,NA,"yes"
"FAJ-PILCHTSST-1960-2010-ONO","PILCHTSST","FAFRFJ","FAJ","1960-2010",2010,"VPA","VPA","Virtual Population Analysis","Japan","Russia Japan","Tsushima Strait","Japan-FAFRFJ-TSST","Japanese pilchard Tsushima Strait","Actinopterygii","Clupeiformes","Clupeidae","Sardinops","Sardinops sagax","Sardinops melanostictus","Japanese pilchard",NA,NA,NA,NA,0,NA,NA,51,400319.607843137,"MT","tc",51,400319.607843137,"MT",51,22621254901.9608,"E00",51,935566.666666667,"MT",51,2095443.1372549,"MT",0,NA,NA,"yes"
"SEFSC-PINKSHRIMPGM-1984-2011-HIVELY","PINKSHRIMPGM","NMFS","SEFSC","1984-2011",2011,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US Southeast and Gulf","Gulf of Mexico","USA-NMFS-GM","Pink shrimp Gulf of Mexico","Malacostraca","Decapoda","Penaeidae","Farfantepenaeus","Farfantepenaeus duorarum","Farfantepenaeus duorarum","Pink shrimp",NA,NA,NA,NA,0,NA,NA,28,4270,"MT","tc",28,4270,"MT",28,4102142857.14286,"E00",28,23503.5714285714,"MT",0,NA,NA,0,NA,NA,NA
"WGNSSK-PLAIC7d-1979-2010-NEUBAUER","PLAIC7d","ICES","WGNSSK","1979-2010",2010,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (EU)","Eastern English Channel","multinational-ICES-VIId","European Plaice ICES VIId","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European Plaice",NA,NA,NA,NA,31,4349.67741935484,"MT",0,NA,NA,"tl",31,4349.67741935484,"MT",31,16789032.2580645,"E00",31,5164.1935483871,"MT",31,10713.8709677419,"MT",0,NA,NA,"yes"
"WGSSDS-PLAICCELT-1992-2010-NEUBAUER","PLAICCELT","ICES","WGSSDS","1992-2010",2010,"Statistical catch at age model","SCA","Statistical catch-at-age model","multinational","Europe (EU)","Celtic Sea","multinational-ICES-VIIf-g","European Plaice ICES VIIf-g","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European Plaice",NA,NA,NA,NA,18,673.611111111111,"MT",18,1136.61111111111,"MT","tc",18,1136.61111111111,"MT",18,7597777.77777778,"E00",18,1865,"MT",0,NA,NA,0,NA,NA,NA
"WGSSDS-PLAICECHW-1979-2010-NEUBAUER","PLAICECHW","ICES","WGSSDS","1979-2010",2010,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (EU)","Western English Channel","multinational-ICES-VIIe","European Plaice ICES VIIe","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European Plaice",NA,NA,NA,NA,31,1720,"MT",0,NA,NA,"tl",31,1720,"MT",31,6706129.03225806,"E00",31,3071.29032258065,"MT",31,5766.12903225806,"MT",0,NA,NA,"yes"
"WGNSSK-PLAICIIIa-1976-2006-MINTO","PLAICIIIa","ICES","WGNSSK","1976-2006",2006,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (EU)","Kattegat and Skagerrak","multinational-ICES-IIIa","European Plaice ICES IIIa","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European Plaice",NA,NA,NA,NA,29,11825.1724137931,"MT",0,NA,NA,"tl",29,11825.1724137931,"MT",29,46468965.5172414,"E00",29,23565.5172413793,"MT",0,NA,NA,0,NA,NA,NA
"WGNSDS-PLAICIS-1992-2010-NEUBAUER","PLAICIS","ICES","WGNSDS","1992-2010",2010,"Statistical catch at age model","SCA","Statistical catch-at-age model","multinational","Europe (EU)","Irish Sea","multinational-ICES-VIIa","European Plaice Irish Sea","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European Plaice",NA,NA,NA,NA,19,1476.47368421053,"MT",19,1976.31578947368,"MT","tc",19,1976.31578947368,"MT",18,39044444.4444444,"E00",18,16316.1111111111,"MT",0,NA,NA,0,NA,NA,NA
"WGNSSK-PLAICNS-1956-2010-NEUBAUER","PLAICNS","ICES","WGNSSK","1956-2010",2010,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (EU)","North Sea","multinational-ICES-IV","European Plaice North Sea","Actinopterygii","Pleuronectiformes","Pleuronectidae","Pleuronectes","Pleuronectes platessa","Pleuronectes platessa","European Plaice",NA,NA,NA,NA,54,106551.851851852,"MT",54,162564.814814815,"MT","tc",54,162564.814814815,"MT",54,1048388888.88889,"E00",54,306296.296296296,"MT",0,NA,NA,0,NA,NA,NA
"DFO-NFLD-POLL3Ps-1960-2013-OSGOOD","POLL3Ps","DFO","DFO-NFLD","1960-2013",2013,"Survey index","RV","Temporal indices derived from scientific survey data","Canada","Canada East Coast","St. Pierre Bank","Canada-DFO-3Ps","Pollock St. Pierre Bank","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock",NA,NA,NA,NA,54,1099.38888888889,"MT",0,NA,NA,"tl",54,1099.38888888889,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"DFO-MAR-POLL4VWX-1982-2011-OSGOOD","POLL4VWX","DFO","DFO-MAR","1982-2011",2011,"Survey index","RV","Temporal indices derived from scientific survey data","Canada","Canada East Coast","Scotian Shelf and Bay of Fundy","Canada-DFO-4VWX","Pollock Scotian Shelf and Bay of Fundy","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock",NA,NA,NA,NA,30,8519.46666666667,"MT",0,NA,NA,"tl",30,8519.46666666667,"MT",0,NA,NA,0,NA,NA,0,NA,NA,0,NA,NA,NA
"NEFSC-POLL5YZ-1960-2009-CHING","POLL5YZ","NMFS","NEFSC","1960-2009",2009,"Statistical catch at age model","ASAP","Age Structured Assessment Program","USA","US East Coast","Gulf of Maine / Georges Bank","USA-NMFS-5YZ","Pollock NAFO-5YZ","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock",NA,NA,NA,NA,50,10929.2,"MT",50,11187,"MT","tc",50,11187,"MT",0,NA,NA,40,176145,"MT",40,198230,"MT",0,NA,NA,"yes"
"NWWG-POLLFAPL-1958-2012-CHING","POLLFAPL","ICES","NWWG","1958-2012",2012,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (non-EU)","Faroe Plateau","multinational-ICES-Vb1","Pollock Faroe Plateau","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock",NA,NA,NA,NA,51,37482.1568627451,"MT",0,NA,NA,"tl",51,37482.1568627451,"MT",52,31477884.6153846,"E00",52,94128.8461538462,"MT",52,193403.846153846,"MT",0,NA,NA,"yes"
"NWWG-POLLIEG-1977-2012-CHING","POLLIEG","ICES","NWWG","1977-2012",2012,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","multinational","Europe (non-EU)","Iceland Grounds","multinational-ICES-Va","Pollock or saithe Iceland Grounds","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock",65000,NA,"MT",NA,32,60759.375,"MT",0,NA,NA,"tl",32,60759.375,"MT",33,36466969.6969697,"E00",33,118090.909090909,"MT",33,258000,"MT",0,NA,NA,"yes"
"AFWG-POLLNEAR-1957-2012-CHING","POLLNEAR","ICES","AFWG","1957-2012",2012,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (non-EU)","North-East Arctic","multinational-ICES-I-II","Pollock Northeast Arctic","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock",NA,NA,NA,NA,52,162992.307692308,"MT",0,NA,NA,"tl",52,162992.307692308,"MT",53,187473584.90566,"E00",53,351392.452830189,"MT",52,699980.769230769,"MT",0,NA,NA,"yes"
"WGNSSK-POLLNS-VI-IIIa-1964-2012-CHING","POLLNS-VI-IIIa","ICES","WGNSSK","1964-2012",2012,"VPA","XSA","Extended Survivor Analysis","multinational","Europe (EU)","IIIa, VI and North Sea","multinational-ICES-IIIa-IV-VI","Pollock ICES IIIa, VI and North Sea","Actinopterygii","Gadiformes","Gadidae","Pollachius","Pollachius virens","Pollachius virens","Pollock",200000,NA,"MT",NA,45,150986.666666667,"MT",0,NA,NA,"tl",45,150986.666666667,"MT",46,151652173.913043,"E00",46,245217.391304348,"MT",45,509022.222222222,"MT",0,NA,NA,"yes"
"AFSC-POPERCHGA-1959-2010-STACHURA","POPERCHGA","NMFS","AFSC","1959-2010",2010,"Statistical catch at age model","AD-CAM","an AD-Model builder statistical Catch at Age Model","USA","US Alaska","Gulf of Alaska","USA-NMFS-GA","Pacific ocean perch Gulf of Alaska","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Sebastes alutus","Pacific ocean perch",20243,NA,"MT",NA,0,NA,NA,50,40194.4,"MT","tc",50,40194.4,"MT",49,59440816.3265306,"E00",50,74412,"MT",50,339618,"MT",0,NA,NA,"yes"
"NWFSC-POPERCHPCOAST-1940-2011-STACHURA","POPERCHPCOAST","NMFS","NWFSC","1940-2011",2011,"Integrated Analysis","SS3","Stock Synthesis v3.0 model","USA","US West Coast","Pacific Coast","USA-NMFS-PCOAST","Pacific ocean perch Pacific Coast","Actinopterygii","Scorpaeniformes","Sebastidae","Sebastes","Sebastes alutus","Sebastes alutus","Pacific ocean perch",1058,6560000000000,"MT","E00eggs",71,1984.64788732394,"MT",71,2111.7323943662,"MT","tc",71,2111.7323943662,"MT",71,5939253.52112676,"E00",72,3153347222222.22,"E00eggs",72,59895.8333333333,"MT",0,NA,NA,"yes"
"DFO-PORSHARATL-1960-2014-OSGOOD","PORSHARATL","DFO","DFO","1960-2014",2014,"Biomass dynamics model","ASPDM","Age structured population dynamics model","Canada","Canada East Coast","Canadian Atlantic Ocean","Canada-DFO-ATL","Porbeagle shark Atlantic Ocean","Elasmobranchii","Lamniformes","Lamnidae","Lamna","Lamna nasus","Lamna nasus","Porbeagle shark",NA,NA,NA,NA,54,991.351851851852,"MT",19,405.210526315789,"MT","tl",54,991.351851851852,"MT",49,50748.9795918367,"E00",49,28620.4081632653,"E00",0,NA,NA,49,349693.87755102,"E00",NA
"STECF-PRCODMEDGSA9-2004-2011-OSIO","PRCODMEDGSA9","GFCM","STECF","2004-2011",2011,"VPA","VIT","Package based on LCA and Y/R analysis adapted to Mediterranean fisheries; Lleonart and Salat, 1992","multinational","Mediterranean-Black Sea","Ligurian and North Tyrrhenian Sea","multinational-GFCM-GSA9","Poor cod Ligurian and North Tyrrhenian Sea","Actinopterygii","Gadiformes","Gadidae","Trisopterus","Trisopterus minutus","Trisopterus minutus","Poor cod",NA,NA,NA,NA,0,NA,NA,8,127.9875,"MT","tc",8,127.9875,"MT",1,3000000,"E00",1,163,"MT",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA1-1980-2003-HIVELY","PSALMA1","DFO","DFO","1980-2003",2003,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 1","Canada-DFO-A1","Pink Salmon Area 1","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,24,269921.125,"E00","tc",24,269921.125,"E00",0,NA,NA,24,473722.958333333,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA10-1950-2002-HIVELY","PSALMA10","DFO","DFO","1950-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 10","Canada-DFO-A10","Pink Salmon Area 10","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,23,22585.9565217391,"E00","tc",23,22585.9565217391,"E00",0,NA,NA,53,16301.1320754717,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA12-1953-2004-HIVELY","PSALMA12","DFO","DFO","1953-2004",2004,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 12","Canada-DFO-A12","Pink Salmon Area 12","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,0,NA,NA,"none",0,NA,NA,0,NA,NA,52,655175,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA13-1953-2004-HIVELY","PSALMA13","DFO","DFO","1953-2004",2004,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 13","Canada-DFO-A13","Pink Salmon Area 13","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,0,NA,NA,"none",0,NA,NA,0,NA,NA,52,263482.692307692,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA21-27-1954-1980-HIVELY","PSALMA21-27","DFO","DFO","1954-1980",1980,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area21-27","Canada-DFO-A21-27","Pink Salmon Area21-27","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,12,128166.666666667,"E00","tc",12,128166.666666667,"E00",13,307153.846153846,"E00",13,174923.076923077,"E00",0,NA,NA,13,307153.846153846,"E00",NA
"DFO-PSALMA2E-1950-2002-HIVELY","PSALMA2E","DFO","DFO","1950-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 2E","Canada-DFO-A2E","Pink Salmon Area 2E","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,23,73692.5217391304,"E00","tc",23,73692.5217391304,"E00",0,NA,NA,53,270703.20754717,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA2W-1980-2002-HIVELY","PSALMA2W","DFO","DFO","1980-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 2W","Canada-DFO-A2W","Pink Salmon Area 2W","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,23,90757.652173913,"E00","tc",23,90757.652173913,"E00",0,NA,NA,23,91695.2173913044,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA3-1980-2002-HIVELY","PSALMA3","DFO","DFO","1980-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 3","Canada-DFO-A3","Pink Salmon Area 3","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,23,618739.130434783,"E00","tc",23,618739.130434783,"E00",0,NA,NA,23,359086.956521739,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA4-1980-2002-HIVELY","PSALMA4","DFO","DFO","1980-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 4","Canada-DFO-A4","Pink Salmon Area 4","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,23,2931739.13043478,"E00","tc",23,2931739.13043478,"E00",0,NA,NA,23,1492043.47826087,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA5-1980-2002-HIVELY","PSALMA5","DFO","DFO","1980-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 5","Canada-DFO-A5","Pink Salmon Area 5","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,23,244800,"E00","tc",23,244800,"E00",0,NA,NA,23,161617.391304348,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA6-1950-2002-HIVELY","PSALMA6","DFO","DFO","1950-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 6","Canada-DFO-A6","Pink Salmon Area 6","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,51,1454256.8627451,"E00","tc",51,1454256.8627451,"E00",0,NA,NA,53,680650.943396226,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA7-1980-2002-HIVELY","PSALMA7","DFO","DFO","1980-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 7","Canada-DFO-A7","Pink Salmon Area 7","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,23,281656.826086957,"E00","tc",23,281656.826086957,"E00",0,NA,NA,23,237534.782608696,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA8-1950-2002-HIVELY","PSALMA8","DFO","DFO","1950-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 8","Canada-DFO-A8","Pink Salmon Area 8","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,51,1411739.21568627,"E00","tc",51,1411739.21568627,"E00",0,NA,NA,53,1231116.98113208,"E00",0,NA,NA,0,NA,NA,NA
"DFO-PSALMA9-1950-2002-HIVELY","PSALMA9","DFO","DFO","1950-2002",2002,"Unknown","unknown","Unknown","Canada","Canada West Coast (Pacific Salmon)","Area 9","Canada-DFO-A9","Pink Salmon Area 9","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,51,200485.117647059,"E00","tc",51,200485.117647059,"E00",0,NA,NA,53,141865.566037736,"E00",0,NA,NA,0,NA,NA,NA
"ADFG-PSALMAFFLECKCI-1960-1998-HIVELY","PSALMAFFLECKCI","AKSTATE","ADFG","1960-1998",1998,"Unknown","unknown","Unknown","USA","US Alaska (Pacific Salmon)","Affleck Cl (District105)","USA-AKSTATE-AFFLECKCI","Pink Salmon Affleck Cl (District105)","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,0,NA,NA,"none",0,NA,NA,0,NA,NA,39,343130.769230769,"E00",0,NA,NA,0,NA,NA,NA
"ADFG-PSALMAFOGNAKD-1978-1998-HIVELY","PSALMAFOGNAKD","AKSTATE","ADFG","1978-1998",1998,"Unknown","unknown","Unknown","USA","US Alaska (Pacific Salmon)","Afognak District","USA-AKSTATE-AFOGNAKD","Pink Salmon Afognak District","Actinopterygii","Salmoniformes","Salmonidae","Oncorhynchus","Oncorhynchus gorbuscha","Oncorhynchus gorbuscha","Pink salmon",NA,NA,NA,NA,0,NA,NA,19,927947.368421053,"E00","tc",19,927947.368421053,"E00",19,1353421.05263158,"E00",19,425210.526315789,"E00",0,NA,NA,19,1353421.05263158,"E00",NA
